,groundSteering,timestamp,angularVelocityX,angularVelocityY,angularVelocityZ
0,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.4272461
31,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4272461
30,-0.0,2020-03-18 14:56:41,0.3662109,0.5493164,0.4272461
29,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4882812
28,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.4882812
27,-0.0,2020-03-18 14:56:41,0.4272461,0.4272461,0.4882812
25,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.5493164
24,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.4272461
23,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4272461
22,-0.0,2020-03-18 14:56:41,0.3662109,0.5493164,0.4272461
21,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4882812
20,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.4882812
19,-0.0,2020-03-18 14:56:41,0.4272461,0.4272461,0.4882812
18,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4882812
17,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.5493164
16,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.4272461
26,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4882812
14,-0.0,2020-03-18 14:56:41,0.3662109,0.5493164,0.4272461
15,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4272461
1,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.5493164
2,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4882812
4,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.4882812
5,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4882812
6,-0.0,2020-03-18 14:56:41,0.3662109,0.5493164,0.4272461
3,-0.0,2020-03-18 14:56:41,0.4272461,0.4272461,0.4882812
8,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.4272461
9,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.5493164
10,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4882812
11,-0.0,2020-03-18 14:56:41,0.4272461,0.4272461,0.4882812
12,-0.0,2020-03-18 14:56:41,0.4882812,0.4882812,0.4882812
7,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4272461
13,-0.0,2020-03-18 14:56:41,0.3662109,0.4882812,0.4882812
161,-0.01499404,2020-03-18 14:56:42,-0.8544922,-4.333496,0.6713867
160,-0.01499404,2020-03-18 14:56:42,3.051758,10.0708,-2.075195
159,-0.01499404,2020-03-18 14:56:42,1.708984,0.4882812,0.4272461
158,-0.01499404,2020-03-18 14:56:42,-1.098633,-2.868652,0.0
156,-0.01499404,2020-03-18 14:56:42,0.3662109,0.1220703,0.1220703
155,-0.01499404,2020-03-18 14:56:42,0.3662109,0.9765625,0.4272461
162,-0.01499404,2020-03-18 14:56:42,-0.2441406,-2.563477,-2.258301
154,-0.01499404,2020-03-18 14:56:42,0.6713867,0.2441406,0.5493164
157,-0.01499404,2020-03-18 14:56:42,0.4272461,0.7324219,0.5493164
163,-0.01499404,2020-03-18 14:56:42,-4.516602,8.850098,-2.685547
170,-0.01499404,2020-03-18 14:56:42,0.4882812,0.4882812,0.4882812
165,-0.01499404,2020-03-18 14:56:42,0.3051758,0.5493164,0.3662109
166,-0.01499404,2020-03-18 14:56:42,0.3662109,0.4882812,0.4882812
167,-0.01499404,2020-03-18 14:56:42,0.3662109,0.6713867,0.5493164
168,-0.01499404,2020-03-18 14:56:42,0.4882812,0.6713867,0.4882812
169,-0.01499404,2020-03-18 14:56:42,0.3662109,0.4272461,0.5493164
171,-0.01499404,2020-03-18 14:56:42,0.3662109,0.5493164,0.4272461
172,-0.01499404,2020-03-18 14:56:42,0.4272461,0.4272461,0.3662109
173,-0.01499404,2020-03-18 14:56:42,0.6713867,0.2441406,0.5493164
153,-0.01499404,2020-03-18 14:56:42,0.4272461,0.4272461,0.3662109
164,-0.01499404,2020-03-18 14:56:42,8.483887,3.234863,-2.624512
152,-0.01499404,2020-03-18 14:56:42,0.3662109,0.5493164,0.4272461
135,-0.01499404,2020-03-18 14:56:42,0.6713867,0.2441406,0.5493164
149,-0.01499404,2020-03-18 14:56:42,0.4882812,0.6713867,0.4882812
129,-0.01499404,2020-03-18 14:56:42,0.3662109,0.6713867,0.5493164
130,-0.01499404,2020-03-18 14:56:42,0.4882812,0.6713867,0.4882812
131,-0.01499404,2020-03-18 14:56:42,0.3662109,0.4272461,0.5493164
132,-0.01499404,2020-03-18 14:56:42,0.4882812,0.4882812,0.4882812
133,-0.01499404,2020-03-18 14:56:42,0.3662109,0.5493164,0.4272461
134,-0.01499404,2020-03-18 14:56:42,0.4272461,0.4272461,0.3662109
174,-0.01499404,2020-03-18 14:56:42,0.3662109,0.9765625,0.4272461
136,-0.01499404,2020-03-18 14:56:42,0.3662109,0.9765625,0.4272461
137,-0.01499404,2020-03-18 14:56:42,0.3662109,0.1220703,0.1220703
151,-0.01499404,2020-03-18 14:56:42,0.4882812,0.4882812,0.4882812
138,-0.01499404,2020-03-18 14:56:42,0.4272461,0.7324219,0.5493164
140,-0.01499404,2020-03-18 14:56:42,1.708984,0.4882812,0.4272461
141,-0.01499404,2020-03-18 14:56:42,3.051758,10.0708,-2.075195
142,-0.01499404,2020-03-18 14:56:42,-0.8544922,-4.333496,0.6713867
143,-0.01499404,2020-03-18 14:56:42,-0.2441406,-2.563477,-2.258301
144,-0.01499404,2020-03-18 14:56:42,-4.516602,8.850098,-2.685547
145,-0.01499404,2020-03-18 14:56:42,8.483887,3.234863,-2.624512
146,-0.01499404,2020-03-18 14:56:42,0.3051758,0.5493164,0.3662109
147,-0.01499404,2020-03-18 14:56:42,0.3662109,0.4882812,0.4882812
148,-0.01499404,2020-03-18 14:56:42,0.3662109,0.6713867,0.5493164
139,-0.01499404,2020-03-18 14:56:42,-1.098633,-2.868652,0.0
175,-0.01499404,2020-03-18 14:56:42,0.3662109,0.1220703,0.1220703
191,-0.01499404,2020-03-18 14:56:42,0.4272461,0.4272461,0.3662109
177,-0.01499404,2020-03-18 14:56:42,-1.098633,-2.868652,0.0
202,-0.01499404,2020-03-18 14:56:42,8.483887,3.234863,-2.624512
203,-0.01798575,2020-03-18 14:56:42,0.3051758,0.5493164,0.3662109
204,-0.01798575,2020-03-18 14:56:42,0.3662109,0.4882812,0.4882812
205,-0.01798575,2020-03-18 14:56:42,0.3662109,0.6713867,0.5493164
206,-0.01798575,2020-03-18 14:56:42,0.4882812,0.6713867,0.4882812
207,-0.01798575,2020-03-18 14:56:42,0.3662109,0.4272461,0.5493164
208,-0.01798575,2020-03-18 14:56:42,0.4882812,0.4882812,0.4882812
209,-0.01798575,2020-03-18 14:56:42,0.3662109,0.5493164,0.4272461
210,-0.01798575,2020-03-18 14:56:42,0.4272461,0.4272461,0.3662109
