sampleTimeStamp.seconds,sampleTimeStamp.microseconds,IRLeft_voltage,IRRight_voltage,groundSteering,angularVelocityX,angularVelocityY,angularVelocityZ
1584543153,34136,,0.005714286,,,,
1584543153,36460,,,,0.4882812,0.4882812,0.3662109
1584543153,39998,0.005274725,,,,,
1584543153,123020,,,-0.0,,,
1584543153,133522,,,,0.4272461,0.4882812,0.6713867
1584543153,137394,,0.005274725,,,,
1584543153,140827,0.005714286,,,,,
1584543153,166335,,,,0.4272461,0.6713867,0.4272461
1584543153,190946,,,,0.6713867,0.4882812,0.4882812
1584543153,212360,,,,0.4272461,0.5493164,0.3662109
1584543153,223548,,,-0.0,,,
1584543153,236520,,0.005274725,,,,
1584543153,243082,0.006153846,,,,,
1584543153,303237,,,,0.3662109,0.4882812,0.4272461
1584543153,324071,,,-0.0,,,
1584543153,337119,,0.01362637,,,,
1584543153,342971,0.005714286,,,,,
1584543153,388415,,,,0.4272461,0.5493164,0.3662109
1584543153,409087,,,,0.4272461,0.5493164,0.3051758
1584543153,424650,,,-0.0,,,
1584543153,438667,,0.005274725,,,,
1584543153,443513,0.005714286,,,,,
1584543153,508319,,,,0.4272461,0.4882812,0.4272461
1584543153,525387,,,-0.0,,,
1584543153,538563,,0.005714286,,,,
1584543153,544401,0.006153846,,,,,
1584543153,598779,,,,0.3051758,0.4272461,0.5493164
1584543153,626064,,,-0.0,,,
1584543153,630760,,,,0.5493164,0.5493164,0.1831055
1584543153,639205,,0.005274725,,,,
1584543153,645366,0.005274725,,,,,
1584543153,719255,,,,0.3662109,0.4272461,0.3662109
1584543153,726778,,,-0.0,,,
1584543153,740056,,0.005274725,,,,
1584543153,746651,0.005714286,,,,,
1584543153,814144,,,,0.4272461,0.4272461,0.5493164
1584543153,827300,,,-0.0,,,
1584543153,840295,,0.005274725,,,,
1584543153,846912,0.0167033,,,,,
1584543153,904321,,,,0.3662109,0.3662109,0.4882812
1584543153,927818,,,0.01500292,,,
1584543153,934747,,,,0.4272461,0.4272461,0.4272461
1584543153,941957,,0.005274725,,,,
1584543153,948023,0.005714286,,,,,
1584543154,28369,,,0.0749791,,,
1584543154,34035,,,,0.3662109,0.4882812,0.7324219
1584543154,44951,,0.005274725,,,,
1584543154,48854,0.0167033,,,,,
1584543154,115084,,,,-0.3051758,-0.3051758,0.7324219
1584543154,128921,,,0.0749791,,,
1584543154,140231,,,,0.3662109,-0.4882812,0.6713867
1584543154,144358,,0.01494505,,,,
1584543154,149633,0.006153846,,,,,
1584543154,163956,,,,0.0,0.0,0.2441406
1584543154,185351,,,,0.5493164,0.3662109,0.4272461
1584543154,202621,,,,0.3662109,0.8544922,0.5493164
1584543154,219116,,,,0.6713867,0.3051758,0.4882812
1584543154,229482,,,0.06597735,,,
1584543154,247114,,0.004835165,,,,
1584543154,250356,0.007032967,,,,,
1584543154,253589,,,,0.5493164,0.6713867,0.4272461
1584543154,330212,,,0.06597735,,,
1584543154,345595,,0.005274725,,,,
1584543154,350609,0.005714286,,,,,
1584543154,353855,,,,0.4882812,0.3662109,0.2441406
1584543154,370881,,,,0.4272461,0.3051758,0.3662109
1584543154,387179,,,,0.3051758,0.4272461,0.3662109
1584543154,403164,,,,0.4272461,0.6713867,0.3051758
1584543154,422912,,,,0.4272461,0.3662109,0.3662109
1584543154,430901,,,0.06298564,,,
1584543154,447025,,0.005274725,,,,
1584543154,450994,0.005714286,,,,,
1584543154,517082,,,,0.4882812,0.5493164,0.4882812
1584543154,531533,,,0.06597735,,,
1584543154,547595,,0.005274725,,,,
1584543154,552088,0.01494505,,,,,
1584543154,598930,,,,0.3051758,0.4272461,0.4882812
1584543154,616142,,,,0.4882812,0.6713867,0.5493164
1584543154,632133,,,0.06597735,,,
1584543154,639084,,,,0.5493164,0.4272461,0.4272461
1584543154,651034,,0.006593407,,,,
1584543154,652448,0.005714286,,,,,
1584543154,724757,,,,0.4272461,0.4882812,0.5493164
1584543154,732706,,,0.06597735,,,
1584543154,748871,,,,0.4272461,0.4882812,0.3662109
1584543154,752072,,0.005274725,,,,
1584543154,755410,0.005274725,,,,,
1584543154,776861,,,,0.4272461,0.5493164,0.3662109
1584543154,793578,,,,0.4272461,0.4882812,0.4272461
1584543154,809246,,,,1.586914,2.075195,0.3051758
1584543154,828755,,,,2.01416,-1.159668,0.6713867
