2024-04-10 14:05:18 startup archives install
2024-04-10 14:05:18 install base-passwd:armhf <none> 3.5.52build1
2024-04-10 14:05:18 status half-installed base-passwd:armhf 3.5.52build1
2024-04-10 14:05:18 status unpacked base-passwd:armhf 3.5.52build1
2024-04-10 14:05:18 configure base-passwd:armhf 3.5.52build1 3.5.52build1
2024-04-10 14:05:18 status half-configured base-passwd:armhf 3.5.52build1
2024-04-10 14:05:18 status installed base-passwd:armhf 3.5.52build1
2024-04-10 14:05:18 startup archives install
2024-04-10 14:05:18 install base-files:armhf <none> 12ubuntu4
2024-04-10 14:05:18 status half-installed base-files:armhf 12ubuntu4
2024-04-10 14:05:18 status unpacked base-files:armhf 12ubuntu4
2024-04-10 14:05:18 configure base-files:armhf 12ubuntu4 12ubuntu4
2024-04-10 14:05:18 status half-configured base-files:armhf 12ubuntu4
2024-04-10 14:05:19 status installed base-files:armhf 12ubuntu4
2024-04-10 14:05:19 startup archives install
2024-04-10 14:05:19 upgrade dpkg 1.21.1ubuntu2 1.21.1ubuntu2
2024-04-10 14:05:19 status half-configured dpkg 1.21.1ubuntu2
2024-04-10 14:05:19 status unpacked dpkg 1.21.1ubuntu2
2024-04-10 14:05:19 status half-installed dpkg 1.21.1ubuntu2
2024-04-10 14:05:19 status unpacked dpkg:armhf 1.21.1ubuntu2
2024-04-10 14:05:19 configure dpkg:armhf 1.21.1ubuntu2 1.21.1ubuntu2
2024-04-10 14:05:19 status half-configured dpkg:armhf 1.21.1ubuntu2
2024-04-10 14:05:19 status installed dpkg:armhf 1.21.1ubuntu2
2024-04-10 14:05:19 startup archives install
2024-04-10 14:05:19 install libc6:armhf <none> 2.35-0ubuntu3
2024-04-10 14:05:19 status half-installed libc6:armhf 2.35-0ubuntu3
2024-04-10 14:05:19 status unpacked libc6:armhf 2.35-0ubuntu3
2024-04-10 14:05:19 configure libc6:armhf 2.35-0ubuntu3 2.35-0ubuntu3
2024-04-10 14:05:19 status half-configured libc6:armhf 2.35-0ubuntu3
2024-04-10 14:05:19 status installed libc6:armhf 2.35-0ubuntu3
2024-04-10 14:05:19 startup archives install
2024-04-10 14:05:19 install perl-base:armhf <none> 5.34.0-3ubuntu1
2024-04-10 14:05:19 status half-installed perl-base:armhf 5.34.0-3ubuntu1
2024-04-10 14:05:19 status unpacked perl-base:armhf 5.34.0-3ubuntu1
2024-04-10 14:05:19 configure perl-base:armhf 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2024-04-10 14:05:19 status half-configured perl-base:armhf 5.34.0-3ubuntu1
2024-04-10 14:05:19 status installed perl-base:armhf 5.34.0-3ubuntu1
2024-04-10 14:05:19 startup archives install
2024-04-10 14:05:19 install mawk:armhf <none> 1.3.4.20200120-3
2024-04-10 14:05:19 status half-installed mawk:armhf 1.3.4.20200120-3
2024-04-10 14:05:19 status unpacked mawk:armhf 1.3.4.20200120-3
2024-04-10 14:05:19 configure mawk:armhf 1.3.4.20200120-3 1.3.4.20200120-3
2024-04-10 14:05:19 status half-configured mawk:armhf 1.3.4.20200120-3
2024-04-10 14:05:19 status installed mawk:armhf 1.3.4.20200120-3
2024-04-10 14:05:19 startup archives unpack
2024-04-10 14:05:19 upgrade base-files:armhf 12ubuntu4 12ubuntu4
2024-04-10 14:05:19 status half-configured base-files:armhf 12ubuntu4
2024-04-10 14:05:19 status unpacked base-files:armhf 12ubuntu4
2024-04-10 14:05:19 status half-installed base-files:armhf 12ubuntu4
