Timestamp, SteeringAngle, OriginalSteering
1584543601538678,0,0
1584543602240532,-0.00336581,-0
1584543602340623,-0.00325287,-0
1584543602438522,-0.00345752,-0
1584543602539485,-0.0034218,-0
1584543602641277,-0.00356382,-0
1584543602737980,-0.00337244,-0
1584543602837932,-0.003294,-0
1584543602937746,-0.00337244,-0
1584543603037657,-0.00336926,-0
1584543603144095,-0.00376209,-0
1584543603240807,-0.00304937,-0
1584543603337661,-0.00250331,-0
1584543603437809,-0.00229572,-0
1584543603538544,-0.00429105,-0
1584543603639600,-0.00389333,-0
1584543603737793,-0.00331868,-0
1584543603837501,-0.00446609,-0
1584543603937598,-0.000640352,-0
1584543604040350,-9.91666e-06,-0
1584543604140075,0.0032416,-0
1584543604237823,-0.00227841,-0
1584543604337644,-0.00487931,-0
1584543604437705,-0.00900735,-0
1584543604538070,-0.012497,-0
1584543604639546,0.00345106,-0
1584543604737739,-0.00411075,-0
1584543604840101,-0.00517093,0.0329887
1584543604937965,0.00323286,0.0809714
1584543605037302,0.0210762,0.125962
1584543605139348,0.0284543,0.173945
1584543605237422,0.0327752,0.0929737
1584543605337238,0.033896,0.0779797
1584543605437522,0.024753,0.0239958
1584543605538240,0.00486219,0.0179946
1584543605643226,0.00217364,0.0209952
1584543605737754,-0.00111929,0.0209952
1584543605837370,0.00801987,0.0749791
1584543605937452,0.00883599,0.083972
1584543606037416,0.018604,0.0150029
1584543606139769,0.00494416,0.00900175
1584543606237049,0.0024605,0.0120023
1584543606337265,0.0014948,0.0569845
1584543606439417,-0.00526021,0.098966
1584543606538861,0.00572563,0.125962
1584543606639140,0.0378595,0.125962
1584543606737260,0.0417512,0.128963
1584543606837061,0.0469357,0.128963
1584543606936887,0.0418977,0.128963
1584543607037208,0.0556374,0.128963
1584543607139115,0.0438543,0.125962
1584543607237076,0.0436736,0.0809714
1584543607337001,0.0450173,0.0719785
1584543607437062,0.0354302,0.0749791
1584543607537436,0.0274182,0.0749791
1584543607639169,0.0314955,0.11396
1584543607736785,0.0304008,0.11396
